Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Opaque Casual Shirt,Rs.599,Rs.545,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27302550/2024/6/28/b92bc613-d3f2-43c4-880b-bb15ea453ba11719557444331-INCLUD-Boys-Classic-Opaque-Striped-Casual-Shirt-778171955744-1.jpg",https://www.myntra.comshirts/includ/includ-boys-classic-opaque-striped-casual-shirt/27302550/buy,4.3,6
Pure Cotton Casual Shirt,Rs.2299,Rs.896,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24393406/2023/8/8/123f2cb6-69c8-4a21-95e6-7391d678eed11691438766846HighStarWomenWhiteClassicOpaqueCasualShirt1.jpg",https://www.myntra.comshirts/high+star/high-star-long-sleeves-solid-oversized-casual-shirt/24393406/buy,4.3,5.1k
Spread Collar Casual Shirt,Rs.1899,Rs.588,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28219632/2024/3/12/2f53aaab-40e1-4c5b-8148-6ad150e5f4341710256687634CampusSutraMenClassicOpaqueCheckedCasualShirt2.jpg",https://www.myntra.comshirts/campus+sutra/campus-sutra-classic-self-design-spread-collar-casual-shirt/28219632/buy,4.3,4.6k
Oversized Casual Shirt,Rs.2799,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26171658/2024/1/5/8d6f0dc9-8d98-448e-a9f7-2b7fa98fd2cb1704448975229-DL-Woman-Oversized-Spread-Collar-Cotton-Casual-Shirt-3641704-1.jpg",https://www.myntra.comshirts/dl+woman/dl-woman-oversized-crepe-casual-shirt/26171658/buy,4.2,1.9k
Slim Fit Casual Shirt,Rs.1299,Rs.441,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11780934/2020/4/3/1ed79c22-68b5-491a-b673-e91e4411d8aa1585905063620HIGHLANDERMenOliveGreenBlackSlimFitCheckedCasualShirt1.jpg",https://www.myntra.comshirts/highlander/highlander-men-olive-green--black-slim-fit-checked-casual-shirt/11780934/buy,4.2,31.7k
Mandarin Collar Casual Shirt,Rs.2199,Rs.593,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29541216/2024/5/14/9f963e5b-9ba6-461a-960c-f1c701ecfe981715692370989DressBerryWomenClassicOpaqueCasualShirt1.jpg",https://www.myntra.comshirts/dressberry/dressberry-fuchsia-classic-mandarin-collar-casual-shirt/29541216/buy,3.9,1k
Men Slim Fit Casual Sustainable Shirt,Rs.2099,Rs.575,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/12/N9JXwusW_527a68db55844f32b7abfa2d18b2b77a.jpg",https://www.myntra.comshirts/mast+%26+harbour/mast--harbour-men-blue--white-slim-fit-striped-casual-sustainable-shirt/8717979/buy,4.3,27.6k
Men Cotton Casual Shirt,Rs.1599,Rs.623,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9951411/2019/8/5/fe1322b7-9e53-4b6e-8423-0a4f5a9e8b4b1565006161882-Roadster-Men-Shirts-8701565006159466-1.jpg",https://www.myntra.comshirts/roadster/roadster-men-maroon--navy-blue-checked-pure-cotton-casual-sustainable-shirt/9951411/buy,4.4,24k
Slim Fit Casual Shirt,Rs.2495,Rs.873,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15533082/2023/2/10/02fd5910-6f17-4bda-ba8f-ddf698c5cac81676013985849THEBEARHOUSEMenPurpleSlimFitCasualShirt4.jpg",https://www.myntra.comshirts/the+bear+house/the-bear-house-men-purple-slim-fit-casual-shirt/15533082/buy,4.4,7.4k
Men Cotton Casual Shirt,Rs.1399,Rs.517,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17091614/2022/2/18/779ac019-8b8c-48f7-9c5e-b3e2fe3004b01645166457327-Men-White-Casual-Shirt-5731645166456476-1.jpg",https://www.myntra.comshirts/roadster/roadster-men-white-classic-regular-fit-cotton-casual-shirt/17091614/buy,4.2,10.6k
Men Mids Floral Print Shirt,Rs.3999,Rs.1919,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318588/2024/5/3/bf2a1409-94ae-4f9f-9b95-77262b9896741714702048425RARERABBITMenComfortFloralOpaquePrintedCasualShirt1.jpg",https://www.myntra.comshirts/rare+rabbit/rare-rabbit-men-mids-regular-fit-floral-printed-opaque-shirt/29318588/buy,4.6,21
Boys Printed Casual Shirt,Rs.1999,Rs.499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28462528/2024/3/22/17c6c511-e2f2-4023-bf2b-a29f547d13d81711130710548BAESDBoysOpaquePrintedFormalShirt1.jpg",https://www.myntra.comshirts/baesd/baesd-boys-conversational-printed-mandarin-collar-casual-shirt/28462528/buy,3.8,24
Boys Printed Cotton Shirt,Rs.1299,Rs.584,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27542788/2024/2/13/84e81096-afe5-407e-825a-a3d69c89358c1707822232232ZIPZAPZOOPBoysComfortOpaqueCasualShirt1.jpg",https://www.myntra.comshirts/zip+zap+zoop/zip-zap-zoop-boys-comfort-graphic-printed-twill-weave-pure-cotton-casual-shirt/27542788/buy,4.1,15
Slim Fit Opaque Casual Shirt,Rs.1999,Rs.879,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27729354/2024/2/20/a4d9f8ed-a6b4-46ae-afd8-0ed13ed2d0021708433603038HERENOWMenSlimFitOpaqueCasualShirt5.jpg",https://www.myntra.comshirts/here%26now/herenow-men-slim-fit-opaque-casual-shirt/27729354/buy,4.1,2.8k
Boys Cotton Casual Shirt,Rs.1799,Rs.719,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22833422/2023/4/20/f7e1da78-8203-4845-bb7c-dd28a6bf95931682005136066Shirts1.jpg",https://www.myntra.comshirts/marks+%26+spencer/marks--spencer-boys-floral-printed-cotton-casual-shirt/22833422/buy,3.6,11
Men Comica Geometric Shirt,Rs.2999,Rs.1439,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24003822/2023/7/13/ccbad068-1aff-4e31-bc76-d12bef06903a1689253068187RARERABBITMenBlackSlimFitGridTattersallChecksOpaqueCheckedCa1.jpg",https://www.myntra.comshirts/rare+rabbit/rare-rabbit-men-comica-conversational-printed-slim-fit-shirt/24003822/buy,4.2,100
Men Slim Fit Casual Shirt,Rs.1099,Rs.351,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2050688/2024/7/17/8e6ed741-3a07-4b68-9b8f-5339f2f7f92a1721201638334-HIGHLANDER-Men-White-Slim-Fit-Casual-Shirt-1251721201638217-7.jpg",https://www.myntra.comshirts/highlander/highlander-men-white-slim-fit-casual-shirt/2050688/buy,4.2,19k
Slim Fit Opaque Casual Shirt,Rs.1749,Rs.349,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14828842/2021/8/11/71c8e4b7-c71e-411f-8649-79e9fefad0071628682012002-The-Indian-Garage-Co-Men-Shirts-5121628682011338-1.jpg",https://www.myntra.comshirts/the+indian+garage+co/the-indian-garage-co-men-blue-slim-fit-tartan-checks-opaque-checked-casual-shirt/14828842/buy,4.2,520
Men Printed Casual Shirt,Rs.3999,Rs.2399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/27/PQPcvvuC_c80a0ea7252f402fa0ff35c25c7ab9ab.jpg",https://www.myntra.comshirts/rare+rabbit/rare-rabbit-men-comfort-floral-printed-casual-shirt/30397599/buy,4,21
